Biểu diễn bằng :

2,Danh sách cạnh                                             1, Ma trận trọng số

Đỉnh đầu  | Đỉnh cuối | Trọng số                               0 2 4 2 0 0 0

     1         |        2        |      2                      2 0 0 6 3 0 0

     1         |        3        |      4                      4 0 0 7 0 4 0 

     1         |        4        |      2                      2 6 7 0 1 2 5

     2         |        4        |      6                      0 3 0 1 0 0 8

     2         |        5        |      3                      0 0 4 2 0 0 5

     3         |        4        |      7                      0 0 0 5 8 5 0

     3         |        6        |      4 

     4         |        5        |      1 

     4         |        6        |      2 

     4         |        7        |      5 

     5         |        7        |      8

     6         |        7        |      5 
